,Query,Song Name,Song ID,Info
0,q=working%20music%20in%20classical%20style%20for%20calming%20,"Turandot, SC 91: ""Nessun Dorma"" - Arr. for String Orchestra by Matt Naughtin",6a0uCh0i9ICDwLgjuZwhTI,"{'danceability': 0.17, 'energy': 0.149, 'key': 2, 'loudness': -18.71, 'mode': 1, 'speechiness': 0.0434, 'acousticness': 0.477, 'instrumentalness': 0.917, 'liveness': 0.118, 'valence': 0.0373, 'tempo': 112.67, 'type': 'audio_features', 'id': '6a0uCh0i9ICDwLgjuZwhTI', 'uri': 'spotify:track:6a0uCh0i9ICDwLgjuZwhTI', 'track_href': 'https://api.spotify.com/v1/tracks/6a0uCh0i9ICDwLgjuZwhTI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6a0uCh0i9ICDwLgjuZwhTI', 'duration_ms': 188000, 'time_signature': 5}"
1,q=working%20music%20in%20classical%20style%20for%20calming%20,"By the Still Waters, Op. 114",3qLZnIVAiGexuNuG8Aptrq,"{'danceability': 0.219, 'energy': 0.00913, 'key': 1, 'loudness': -42.727, 'mode': 1, 'speechiness': 0.0352, 'acousticness': 0.993, 'instrumentalness': 0.882, 'liveness': 0.0807, 'valence': 0.0702, 'tempo': 75.77, 'type': 'audio_features', 'id': '3qLZnIVAiGexuNuG8Aptrq', 'uri': 'spotify:track:3qLZnIVAiGexuNuG8Aptrq', 'track_href': 'https://api.spotify.com/v1/tracks/3qLZnIVAiGexuNuG8Aptrq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3qLZnIVAiGexuNuG8Aptrq', 'duration_ms': 187293, 'time_signature': 4}"
2,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quintet No. 3 in C Major, K. 515*: II. Andante",3BYhyLzNIvSaFY2jGomMKr,"{'danceability': 0.161, 'energy': 0.0569, 'key': 5, 'loudness': -24.697, 'mode': 1, 'speechiness': 0.0489, 'acousticness': 0.948, 'instrumentalness': 0.76, 'liveness': 0.0996, 'valence': 0.136, 'tempo': 80.268, 'type': 'audio_features', 'id': '3BYhyLzNIvSaFY2jGomMKr', 'uri': 'spotify:track:3BYhyLzNIvSaFY2jGomMKr', 'track_href': 'https://api.spotify.com/v1/tracks/3BYhyLzNIvSaFY2jGomMKr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3BYhyLzNIvSaFY2jGomMKr', 'duration_ms': 546400, 'time_signature': 3}"
3,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 19 in C Major, K. 465, ""Dissonance"": II. Andante cantabile",6O7iXmIucRXi1ZmCS9jaat,"{'danceability': 0.152, 'energy': 0.0549, 'key': 5, 'loudness': -23.525, 'mode': 1, 'speechiness': 0.047, 'acousticness': 0.936, 'instrumentalness': 0.844, 'liveness': 0.109, 'valence': 0.0647, 'tempo': 92.329, 'type': 'audio_features', 'id': '6O7iXmIucRXi1ZmCS9jaat', 'uri': 'spotify:track:6O7iXmIucRXi1ZmCS9jaat', 'track_href': 'https://api.spotify.com/v1/tracks/6O7iXmIucRXi1ZmCS9jaat', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6O7iXmIucRXi1ZmCS9jaat', 'duration_ms': 454760, 'time_signature': 4}"
4,q=working%20music%20in%20classical%20style%20for%20calming%20,Enigma Variations: Nimrod,0FvSR6SVzJRFXlneneRpcB,"{'danceability': 0.187, 'energy': 0.239, 'key': 3, 'loudness': -15.022, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.133, 'instrumentalness': 0.948, 'liveness': 0.103, 'valence': 0.0394, 'tempo': 83.334, 'type': 'audio_features', 'id': '0FvSR6SVzJRFXlneneRpcB', 'uri': 'spotify:track:0FvSR6SVzJRFXlneneRpcB', 'track_href': 'https://api.spotify.com/v1/tracks/0FvSR6SVzJRFXlneneRpcB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0FvSR6SVzJRFXlneneRpcB', 'duration_ms': 189201, 'time_signature': 4}"
5,q=working%20music%20in%20classical%20style%20for%20calming%20,VENUS in Sunlight Grey,1vAUDGCObZGyxUxgh3rtl6,"{'danceability': 0.281, 'energy': 0.132, 'key': 8, 'loudness': -17.366, 'mode': 1, 'speechiness': 0.0399, 'acousticness': 0.959, 'instrumentalness': 0.855, 'liveness': 0.0799, 'valence': 0.0371, 'tempo': 126.302, 'type': 'audio_features', 'id': '1vAUDGCObZGyxUxgh3rtl6', 'uri': 'spotify:track:1vAUDGCObZGyxUxgh3rtl6', 'track_href': 'https://api.spotify.com/v1/tracks/1vAUDGCObZGyxUxgh3rtl6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1vAUDGCObZGyxUxgh3rtl6', 'duration_ms': 247813, 'time_signature': 3}"
6,q=working%20music%20in%20classical%20style%20for%20calming%20,Cavatina,6AiTxlRQ2lWO69bPDtTz29,"{'danceability': 0.297, 'energy': 0.0875, 'key': 4, 'loudness': -22.874, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.988, 'instrumentalness': 0.943, 'liveness': 0.103, 'valence': 0.365, 'tempo': 78.676, 'type': 'audio_features', 'id': '6AiTxlRQ2lWO69bPDtTz29', 'uri': 'spotify:track:6AiTxlRQ2lWO69bPDtTz29', 'track_href': 'https://api.spotify.com/v1/tracks/6AiTxlRQ2lWO69bPDtTz29', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AiTxlRQ2lWO69bPDtTz29', 'duration_ms': 239640, 'time_signature': 5}"
7,q=working%20music%20in%20classical%20style%20for%20calming%20,Landsort,0VrOdgTIh68gW8p9WkXSPY,"{'danceability': 0.385, 'energy': 0.00573, 'key': 11, 'loudness': -36.214, 'mode': 1, 'speechiness': 0.0365, 'acousticness': 0.991, 'instrumentalness': 0.699, 'liveness': 0.0921, 'valence': 0.302, 'tempo': 101.688, 'type': 'audio_features', 'id': '0VrOdgTIh68gW8p9WkXSPY', 'uri': 'spotify:track:0VrOdgTIh68gW8p9WkXSPY', 'track_href': 'https://api.spotify.com/v1/tracks/0VrOdgTIh68gW8p9WkXSPY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VrOdgTIh68gW8p9WkXSPY', 'duration_ms': 139690, 'time_signature': 4}"
8,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 21 in D Major, K. 575, ""Prussian No. 1"": II. Andante",7tPmBwMQpAKHhcsXujduYs,"{'danceability': 0.163, 'energy': 0.0488, 'key': 9, 'loudness': -24.094, 'mode': 1, 'speechiness': 0.0467, 'acousticness': 0.974, 'instrumentalness': 0.832, 'liveness': 0.183, 'valence': 0.116, 'tempo': 89.66, 'type': 'audio_features', 'id': '7tPmBwMQpAKHhcsXujduYs', 'uri': 'spotify:track:7tPmBwMQpAKHhcsXujduYs', 'track_href': 'https://api.spotify.com/v1/tracks/7tPmBwMQpAKHhcsXujduYs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7tPmBwMQpAKHhcsXujduYs', 'duration_ms': 268547, 'time_signature': 4}"
9,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 14 in G Major, K. 387: III. Andante cantabile",10sEfHy8IUzqtuiumsBY3E,"{'danceability': 0.131, 'energy': 0.0378, 'key': 0, 'loudness': -25.268, 'mode': 1, 'speechiness': 0.0481, 'acousticness': 0.963, 'instrumentalness': 0.738, 'liveness': 0.0825, 'valence': 0.0792, 'tempo': 64.613, 'type': 'audio_features', 'id': '10sEfHy8IUzqtuiumsBY3E', 'uri': 'spotify:track:10sEfHy8IUzqtuiumsBY3E', 'track_href': 'https://api.spotify.com/v1/tracks/10sEfHy8IUzqtuiumsBY3E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/10sEfHy8IUzqtuiumsBY3E', 'duration_ms': 462880, 'time_signature': 4}"
